ascii information for file: combined_ASCII_2idd_0397.h5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x pixel no,y pixel no, x position, y position, SRcurrent, us_ic, ds_ic, abs_ic, abs_cfg, H_dpc_cfg, V_dpc_cfg, dia1_dpc_cfg, dia2_dpc_cfg, H_dpc_norm, V_dpc_norm, phase, ELT1, ERT1, ICR1, OCR1, deadT, x_coord, y_coord, Na, Al, Si, P, S, Cl, Ar, K, Ca, Ti, V, Cr, Mn, Fe, Co, Ni, Cu, Zn_L, Mo_L, Se_L, Sn_L, Cd_L, Te_L, s_i, s_e, s_a, TFY, Bkgnd
0,33,0.1965,3.04745,0,80097.6,13511.1,0.168683,0,0,0,0,0,0,0,0,0.23482,0.248159,53287.7,50423.3,5.3754,196.5,3047.45,19.0587,22.3245,13.2321,18.5805,140.722,7.98034,10.3355,40.4835,37.7779,4.45187,1.16239,0.126015,0.102276,0.23791,0.125165,0.107989,2.90947,12.7652,414.2,73.166,85.0344,178.834,246.064,897.821,4378.47,10305.8,45920.8,0
0,34,0.1965,3.0476,0,80178.4,13484.2,0.168177,0,0,0,0,0,0,0,0,0.223315,0.236684,53068.4,50070.9,5.64837,196.5,3047.6,13.3469,25.4051,8.4391,13.1091,131.959,8.383,9.81472,35.8688,36.9529,3.77717,1.22104,0.115827,0.161154,0.206451,0.103306,0.113438,2.9476,8.93954,384.441,73.7834,89.9467,169.727,240.675,817.968,4603.86,11089.5,45931.4,0
0,35,0.1965,3.04775,0,79990,13215,0.165209,0,0,0,0,0,0,0,0,0.225948,0.240791,58473.7,54869.2,6.16419,196.5,3047.75,19.8337,18.3922,8.36042,17.0273,135.372,7.08354,9.80925,39.1731,38.4942,4.50562,1.22982,0.196709,0.106435,0.150703,0.102342,0.0824122,4.27252,13.2843,402.604,118.78,89.5187,161.408,251.737,925.472,6225.9,13598.7,51317.2,0
0,36,0.1965,3.0479,0,80097.7,12865.1,0.160618,0,0,0,0,0,0,0,0,0.220672,0.23399,58738.6,55395.5,5.69152,196.5,3047.9,6.76018,19.7964,12.0689,16.8207,136.048,7.49289,10.6461,35.8699,36.7206,3.87832,1.19568,0.167617,0.136041,0.11007,0.114162,0.130234,5.2907,13.5836,405.972,62.2852,81.6682,172.443,248.233,982.546,6067.33,13574.5,51427.4,0
0,37,0.1965,3.04805,0,79936.1,12461.4,0.155892,0,0,0,0,0,0,0,0,0.229299,0.245763,62202.7,58035.5,6.69935,196.5,3048.05,19.557,19.0901,11.6383,16.2206,141.76,9.39326,11.1148,33.9175,39.3316,3.86546,1.25242,0.193965,0.118069,0.329045,0.238526,0.132975,6.31607,13.099,420.631,93.0979,85.8406,172.195,250.514,1178.91,6671.75,15037.6,54470,0
0,38,0.1965,3.0482,0,79882.3,12057.7,0.150943,0,0,0,0,0,0,0,0,0.222221,0.237269,61128.4,57251.5,6.34218,196.5,3048.2,13.4623,18.7259,13.0185,18.8054,150.192,8.45551,11.6518,35.7739,37.3978,4.38002,1.39582,0.216968,0.162548,0.164397,0.123145,0.175443,4.28153,4.50843,446.811,65.1189,79.6455,167.893,251.893,1063.99,6654.45,14922.9,53005.7,0
0,39,0.1965,3.04835,0,80339.9,11707.8,0.145729,0,0,0,0,0,0,0,0,0.232611,0.246974,58268.9,54880.2,5.81568,196.5,3048.35,19.1816,19.6599,11.4149,15.351,158.384,8.74051,11.6504,35.191,39.6075,3.76665,1.20889,0.301217,0.0514678,0.270676,0.116974,0.166652,3.52689,12.8476,470.262,85.42,80.2216,163.582,268.75,929.307,5288.91,12209.5,50161.2,0
0,40,0.1965,3.0485,0,80124.5,11277.2,0.140746,0,0,0,0,0,0,0,0,0.220236,0.235219,59295.6,55518.6,6.36974,196.5,3048.5,27.0852,31.7263,7.05176,18.0307,142.125,7.50524,11.1925,35.0555,42.5753,4.719,1.3009,0.218262,0.0681324,0.220503,0.152466,0.168816,4.50691,13.606,417.492,87.3429,75.0734,170.172,282.554,1015.91,5292.72,11810,51575.6,0
0,41,0.1965,3.04865,0,79882.4,10981.1,0.137466,0,0,0,0,0,0,0,0,0.218896,0.234114,61431,57437.9,6.50003,196.5,3048.65,27.3336,31.0167,10.1663,16.4063,148.412,8.4577,12.0955,40.3721,47.1606,4.15713,1.39618,0.220263,0.0825086,0.244778,0.22118,0.154876,4.05447,18.3076,442.646,81.8479,86.1605,172.248,293.781,887.92,5524.33,12234.1,53746.6,0
0,42,0.1965,3.0488,0,80259.1,10981.1,0.136821,0,0,0,0,0,0,0,0,0.222247,0.237115,61283.1,57440.4,6.27038,196.5,3048.8,20.0963,27.4632,13.9525,21.3466,151.822,9.28105,11.0726,41.0745,46.9376,4.92638,1.28696,0.0830475,0.175247,0.239956,0.122552,0.18219,3.73598,17.9469,448.616,74.0634,91.9524,173.151,320.602,946.701,4957.84,11441.2,52817.9,0
0,43,0.1965,3.04895,0,79909.3,10738.9,0.134389,0,0,0,0,0,0,0,0,0.2305,0.245732,62581.5,58702.1,6.19885,196.5,3048.95,32.4361,26.5959,14.9595,19.2565,154.387,10.3062,13.3403,39.1636,48.07,4.59595,1.30567,0.209104,0.117493,0.211252,0.182587,0.139678,3.61139,26.0702,458.523,107.587,95.8983,186.532,321.56,942.874,5522.55,12161.8,54282.6,0
0,44,0.1965,3.0491,0,80501.3,10819.6,0.134403,0,0,0,0,0,0,0,0,0.219342,0.234094,61378.9,57511.1,6.30144,196.5,3049.1,60.9036,27.7431,7.55072,20.9734,157.026,9.00063,10.657,42.017,45.6537,5.13293,1.34135,0.0671153,0.177033,0.198329,0.114278,0.138035,2.62394,36.2598,462.321,124.697,84.9037,169.299,302.015,820.378,5153.42,11598.6,52835,0
0,45,0.1965,3.04925,0,80286,10792.7,0.134428,0,0,0,0,0,0,0,0,0.232301,0.248613,63060.3,58922.8,6.56123,196.5,3049.25,38.4402,30.018,13.3441,21.8142,163.028,8.40298,11.9239,38.7877,50.4925,4.76092,1.34807,0.27005,0.167606,0.198199,0.207369,0.0943832,2.63417,21.4555,487.956,82.6398,91.3256,177.206,320.868,969.791,5690.01,12873.3,54449.9,0
0,46,0.1965,3.0494,0,80339.9,10846.6,0.135008,0,0,0,0,0,0,0,0,0.219338,0.233976,63085.2,59138.5,6.256,196.5,3049.4,20.3424,32.7636,12.1057,17.464,159.542,9.51993,13.8557,39.5364,50.2032,4.41231,1.19933,0.168128,0.136455,0.220812,0.162222,0.161368,2.97431,9.08333,479.844,81.2176,85.9183,173.992,335.477,926.5,5354.62,11980.9,54459.1,0
0,47,0.1965,3.04955,0,80259.1,10792.7,0.134474,0,0,0,0,0,0,0,0,0.232383,0.247596,64329.2,60376.7,6.1442,196.5,3049.55,38.4396,30.0175,10.9611,22.6529,158.18,8.40285,11.4235,44.517,49.4589,4.95819,1.25037,0.206506,0.193388,0.31294,0.126223,0.174243,4.70102,25.7463,473.359,121.006,92.7169,190.983,319.513,1094.22,5102.05,11851.9,55702,0
0,48,0.1965,3.0497,0,80097.6,11169.5,0.139449,0,0,0,0,0,0,0,0,0.233738,0.250128,64153,59949.4,6.55252,196.5,3049.7,38.2938,26.1657,10.9195,21.4525,148.442,10.0216,11.8785,40.6708,47.9257,4.86565,1.42079,0.253197,0.154124,0.29097,0.206579,0.137419,5.53408,21.3738,426.345,99.9661,96.5276,189.536,319.496,897.701,5347.73,11802.6,55960.9,0
